Святослав;Дубровский;68;
Всеволод;Оболенский;47;
Доброжир;Алмазов;20;
Тихомир;Градов;31;
Богдан;Остроумов;18;
Святослав;Дубровский;41;
Ярополк;Воронцов;21;
Путислав;Болконский;55;
Богдан;Белинский;66;
Богдан;Максимов;20;
Миролюб;Белинский;63;
Ратибор;Дорофеев;20;
Милонег;Зарницкий;22;
Гостомысл;Зарницкий;55;
Всеволод;Орлов/Орловский;31;
Всеволод;Зарницкий;47;
Доброгнева;Остроумов;55;
Любомила;Ковалевский;70;
Всеволод;Лазарев;47;
Святослав;Болконский;41;
Ярополк;Градов;42;
Всеволод;Величанский;66;
Святослав;Дорофеев;19;
Тихомир;Дорофеев;72;
Миролюб;Остроумов;33;
Миролюб;Варшавский;28;
Тихомир;Зарницкий;74;
Всеволод;Кирсанов;50;
Доброжир;Болконский;51;
Ярополк;Величанский;77;
Светозар;Максимов;45;
Гостомысл;Никольский;64;
Тихомир;Градов;76;
Милонег;Максимов;56;
Гостомысл;Величанский;32;
Богдан;Болконский;55;
Любомила;Остроумов;55;
Доброгнева;Максимов;49;
Всеволод;Белинский;32;
Велимудр;Ковалевский;70;
Гостомысл;Градов;76;
Путислав;Градов;21;
Святослав;Белинский;77;
Тихомир;Алмазов;62;
Путислав;Градов;61;
Всеволод;Зарницкий;76;
Доброгнева;Белинский;22;
Тихомир;Никольский;66;
Путислав;Оболенский;67;
Любомила;Орлов/Орловский;72;
Тихомир;Зарницкий;22;
Путислав;Дубровский;41;
Тихомир;Орлов/Орловский;65;
Гостомысл;Дубровский;69;
Миролюб;Остроумов;67;
Доброжир;Зарницкий;27;
Светозар;Оболенский;43;
Любомила;Зарницкий;35;
Светозар;Воронцов;61;
Милонег;Ковалевский;56;
Гостомысл;Дубровский;55;
Гостомысл;Остроумов;55;
Святослав;Митропольский;71;
Велимудр;Митропольский;63;
Милонег;Максимов;34;
Велимудр;Никольский;18;
Миролюб;Воронцов;60;
Светозар;Градов;65;
Всеволод;Орлов/Орловский;53;
Милонег;Дубровский;34;
Любомила;Градов;63;
Велимудр;Алмазов;43;
Гостомысл;Кирсанов;34;
